name;description  
Ciencias de la Salud;Área dedicada al estudio, diagnóstico, tratamiento y prevención de enfermedades, así como al bienestar físico y mental de las personas. Incluye disciplinas clínicas, terapéuticas y de investigación en salud.  
Ingeniería y Tecnología;Campo que aplica conocimientos científicos y técnicos para diseñar, innovar y optimizar sistemas, estructuras, dispositivos y procesos en áreas como construcción, energía, software y manufactura.  
Ciencias Naturales y Ambientales;Estudia los fenómenos naturales, los ecosistemas y los recursos del planeta. Busca soluciones para conservar la biodiversidad, mitigar el cambio climático y promover la sostenibilidad ambiental.  
Negocios y Finanzas;Enfocado en la gestión eficiente de organizaciones, estrategias comerciales, manejo de recursos económicos, inversiones y análisis de mercados para maximizar rentabilidad y competitividad.  
Tecnologías de la Información (TI);Desarrollo, implementación y gestión de sistemas informáticos, redes, software y herramientas digitales para procesar, almacenar y proteger datos en entornos empresariales o personales.  
Ciencias Sociales y Humanidades;Analiza el comportamiento humano, las sociedades, la cultura y la historia para comprender dinámicas sociales, políticas, económicas y éticas que moldean el mundo.  
Derecho y Justicia;Regula el cumplimiento de normas legales, protege derechos individuales y colectivos, y resuelve conflictos mediante sistemas judiciales y marcos jurídicos nacionales e internacionales.  
Educación;Promueve el aprendizaje, la formación académica y el desarrollo de habilidades mediante metodologías pedagógicas, diseño curricular y gestión de instituciones educativas.  
Arte y Diseño;Explora la creatividad a través de expresiones visuales, auditivas o plásticas, combinando estética y funcionalidad en disciplinas como diseño gráfico, arquitectura, música y moda.  
Comunicación y Medios;Gestiona la creación, difusión y análisis de mensajes en medios masivos, redes sociales o entornos corporativos para informar, persuadir o entretener a audiencias específicas.  
Sector Agropecuario;Abarca la producción agrícola, ganadera y forestal, integrando técnicas innovadoras para optimizar cultivos, cuidar la salud animal y garantizar seguridad alimentaria.  
Turismo y Hospitalidad;Organiza servicios y experiencias para viajeros, gestionando alojamientos, gastronomía, eventos y destinos turísticos con enfoque en calidad y sostenibilidad.  
Deporte y Bienestar;Fomenta la salud física y mental mediante entrenamiento, rehabilitación, nutrición y psicología aplicada al rendimiento deportivo o al cuidado personal.  
Sector Industrial y Manufactura;Supervisa procesos de producción, logística y control de calidad para transformar materias primas en bienes finales, utilizando tecnologías como automatización o IoT.  
Sector Público y Político;Gestiona políticas gubernamentales, administra recursos estatales y diseña estrategias para mejorar servicios públicos, gobernanza y relaciones internacionales.  
Innovación y Emprendimiento;Impulsa la creación de negocios, productos o modelos disruptivos mediante investigación, tecnología y estrategias adaptadas a mercados en constante evolución.  
Sector Energético;Desarrolla y gestiona recursos energéticos (renovables y no renovables) para abastecer demanda global, priorizando eficiencia y transición hacia energías limpias.  
Sector AeroEspacial;Diseña, construye y opera aeronaves, satélites y sistemas espaciales, integrando ingeniería avanzada, física y tecnología para exploración y transporte aéreo.  
Sector Automotriz;Investiga, fabrica y mantiene vehículos terrestres, incorporando avances en motores, electrónica, seguridad y movilidad sostenible (ej. vehículos eléctricos).  
Sector Cultural;Preserva, estudia y difunde el patrimonio cultural a través de museos, gestión de arte, arqueología y políticas que promuevan la diversidad y expresión artística.  
